Image Filename,Hashtag,Score,Hashtag_en
fall_01.png,헬스,5,gym
fall_01.png,운동기록,4,workout_record
fall_01.png,오운완,4,workout_complete
fall_01.png,헬린이,3,gym_beginner
fall_01.png,청주,2,Cheongju
fall_01.png,가을,3,autumn
fall_01.png,바람막이,5,windbreaker
fall_02.png,#당진여행,5,#Dangjin_travel
fall_02.png,#소니이미지갤러리,4,#Sony_image_gallery
fall_02.png,#a7r4,4,#a7r4
fall_02.png,#1635gm,4,#1635gm
fall_02.png,#삽교호,5,#Sapgyo_lake
fall_02.png,#삽교호놀이동산,5,#Sapgyo_lake_amusement
fall_02.png,#가을,5,#autumn
fall_02.png,#visitkorea,4,#visitkorea
fall_02.png,#koreatravel,4,#koreatravel
fall_02.png,#voyage,3,#voyage
fall_02.png,#voyaged,3,#voyaged
fall_02.png,#landscape,5,#landscape
fall_02.png,#맑은하늘아래,5,#under_clear_sky
fall_02.png,#소니,4,#Sony
fall_03.png,#GAEUL,1,#GAEUL
fall_03.png,#가을,1,#autumn
fall_03.png,#KIMGAEUL,1,#KIMGAEUL
fall_03.png,#김가을,1,#Kim_Gaeul
fall_03.png,#IVE,1,#IVE
fall_03.png,#아이브,1,#IVE
fall_04.png,#가을,5,#autumn
fall_04.png,#단풍,5,#autumn_leaves
fall_04.png,#반려견,5,#companion_dog
fall_04.png,#공원,5,#park
fall_04.png,#가을여행,4,#autumn_travel
fall_05.png,흐려도좋아,4,cloudy_is_fine
fall_05.png,어째도좋아,3,either_way_is_fine
fall_05.png,가을,5,autumn
fall_05.png,도토리자매,2,acorn_sisters
fall_06.png,#EVENT,5,#EVENT
fall_07.png,#IVE,5,#IVE
fall_07.png,#아이브,5,#IVE
fall_07.png,#DIVE,4,#DIVE
fall_07.png,#다이브,4,#dive
fall_07.png,#安宥真,5,An You Zhen 
fall_07.png,#安俞真,5,An Yu Zhen 
fall_07.png,#安兪真,5,An Yu Zhen 
fall_07.png,#안유진,5,#Ahn_Yujin
fall_07.png,#안유진,5,#Ahn_Yujin
fall_07.png,#ANYUJIN,5,#ANYUJIN
fall_07.png,#YUJIN,5,#YUJIN
fall_07.png,#ユジン,5,yushin
fall_07.png,#アンユジン,5,anyushin
fall_07.png,#gaeul,3,#gaeul
fall_07.png,#rei,3,#rei
fall_07.png,#jangwonyoung,3,#jangwonyoung
fall_07.png,#liz,3,#liz
fall_07.png,#leeseo,3,#leeseo
fall_07.png,#가을,3,#autumn
fall_07.png,#레이,3,#Rei
fall_07.png,#원영,3,#Wonyoung
fall_07.png,#리즈,3,#Leeds
fall_07.png,#이서,3,#Yiseo
fall_07.png,#金秋天,2,Jin Qiu Tian 
fall_07.png,#直井怜,2,Zhi Jing Lian 
fall_07.png,#張員瑛,2,Zhang Yuan Ying 
fall_07.png,#金志垣,2,Jin Zhi Yuan 
fall_07.png,#李賢瑞,2,Li Xian Rui 
fall_07.png,#izone,2,#izone
fall_07.png,#izoneyujin,2,#izoneyujin
fall_08.png,#IVE,5,#IVE
fall_08.png,#아이브,5,#IVE
fall_08.png,#GAEUL,5,#GAEUL
fall_08.png,#가을,5,#autumn
fall_09.png,#가을네일,4,#autumn_nail
fall_09.png,#이달의아트,5,#art_of_the_month
fall_09.png,#하트네일,5,#heart_nail
fall_09.png,#리본네일,5,#ribbon_nail
fall_09.png,#바바라뷰티,4,#Barbara_beauty
fall_10.png,#GAEUL,5,#GAEUL
fall_10.png,#가을,4,#autumn
fall_10.png,#KIMGAEUL,5,#KIMGAEUL
fall_10.png,#김가을,5,#Kim_Gaeul
fall_10.png,#IVE,3,#IVE
fall_10.png,#아이브,3,#IVE
fall_11.png,#가을,5,#autumn
fall_11.png,#날씨변화,5,#weather_change
fall_11.png,#여름끝,5,#end_of_summer
fall_11.png,#패션,4,#fashion
fall_11.png,#일상,4,#daily_life
fall_12.png,#웹툰,5,#webtoon
fall_12.png,#일상,4,#daily_life
fall_12.png,#일상툰,5,#daily_webtoon
fall_12.png,#로마,2,#Rome
fall_12.png,#이탈리아,2,#Italy
fall_12.png,#유럽여행,3,#Europe_travel
fall_12.png,#여행,3,#travel
fall_12.png,#여름,1,#summer
fall_12.png,#가을,1,#autumn
fall_12.png,#그림,4,#drawing
fall_12.png,#만화,5,#comics
fall_12.png,#공감,4,#empathy
fall_12.png,#공감툰,5,#relatable_webtoon
fall_12.png,#여행스타그램,2,#travel_stagram
fall_12.png,#이탈리아여행,2,#Italy_travel
fall_12.png,#웃긴짤,3,#funny_meme
fall_13.png,#IVE,5,#IVE
fall_13.png,#아이브,5,#IVE
fall_13.png,#DIVE,4,#DIVE
fall_13.png,#다이브,4,#dive
fall_13.png,#安宥真,5,An You Zhen 
fall_13.png,#安俞真,5,An Yu Zhen 
fall_13.png,#安兪真,5,An Yu Zhen 
fall_13.png,#안유진,5,#Ahn_Yujin
fall_13.png,#안유진,5,#Ahn_Yujin
fall_13.png,#ANYUJIN,5,#ANYUJIN
fall_13.png,#YUJIN,5,#YUJIN
fall_13.png,#ユジン,5,yushin
fall_13.png,#アンユジン,5,anyushin
fall_13.png,#gaeul,2,#gaeul
fall_13.png,#rei,2,#rei
fall_13.png,#jangwonyoung,2,#jangwonyoung
fall_13.png,#liz,2,#liz
fall_13.png,#leeseo,2,#leeseo
fall_13.png,#가을,2,#autumn
fall_13.png,#레이,2,#Rei
fall_13.png,#원영,2,#Wonyoung
fall_13.png,#리즈,2,#Leeds
fall_13.png,#이서,2,#Yiseo
fall_13.png,#金秋天,1,Jin Qiu Tian 
fall_13.png,#直井怜,1,Zhi Jing Lian 
fall_13.png,#張員瑛,1,Zhang Yuan Ying 
fall_13.png,#金志垣,1,Jin Zhi Yuan 
fall_13.png,#李賢瑞,1,Li Xian Rui 
fall_13.png,#izone,3,#izone
fall_13.png,#izoneyujin,3,#izoneyujin
fall_14.png,#아이브,5,#IVE
fall_14.png,#리즈,5,#Leeds
fall_14.png,#아이브리즈,5,#Ibreeze
fall_14.png,#ive,5,#ive
fall_14.png,#liz,5,#liz
fall_14.png,#iveliz,5,#iveliz
fall_14.png,#starshipentertainment,4,#starshipentertainment
fall_14.png,#스타쉽,4,#Starship
fall_14.png,#유진,2,#Yujin
fall_14.png,#가을,1,#autumn
fall_14.png,#레이,2,#Rei
fall_14.png,#원영,2,#Wonyoung
fall_14.png,#이서,2,#Yiseo
fall_14.png,#iveanyujin,2,#iveanyujin
fall_14.png,#ivewonyoung,2,#ivewonyoung
fall_14.png,#ivegaeul,2,#ivegaeul
fall_14.png,#iverei,2,#iverei
fall_14.png,#iveleeseo,2,#iveleeseo
fall_14.png,#dive,3,#dive
fall_15.png,#날씨,5,#weather
fall_15.png,#기상청,4,#weather_service
fall_15.png,#날씨예보,4,#weather_forecast
fall_15.png,#가을,3,#autumn
fall_15.png,#초가을,3,#early_autumn
fall_15.png,#여름,3,#summer
fall_15.png,#계절,4,#season
fall_15.png,#간절기,4,#transitional_season
fall_15.png,#위키트리,2,#WikiTree
fall_15.png,#WIKITREE,2,#WIKITREE
fall_16.png,#가을,3,#autumn
fall_16.png,#파스텔,5,#pastel
fall_16.png,#펜슬로그려보는,5,#drawn_with_pencil
fall_16.png,#까렌다쉬,5,#Caran_dAche
fall_16.png,#크리에이티브아티스트,4,#creative_artist
fall_16.png,#파스텔화,5,#pastel_painting
fall_16.png,#하늘그리기,4,#sky_drawing
fall_16.png,#mixedmedia,2,#mixedmedia
fall_16.png,#sunset,5,#sunset
fall_17.png,#체험단모집,5,#reviewer_recruitment
fall_17.png,#이벤트,5,#event
fall_17.png,#연기잡는그릴,5,#smoke_free_grill
fall_17.png,#테팔스모크리스그릴,5,#Tefal_smokeless_grill
